H3,s1,s2,angle,velocity ratio prob 0 to prob 1,velocity ratio prob 0 to prob 2,velocity ratio prob 0 to prob 3,velocity ratio prob 1 to prob 0,velocity ratio prob 1 to prob 2,velocity ratio prob 1 to prob 3,velocity ratio prob 2 to prob 0,velocity ratio prob 2 to prob 1,velocity ratio prob 2 to prob 3,velocity ratio prob 3 to prob 0,velocity ratio prob 3 to prob 1,velocity ratio prob 3 to prob 2
6.0,0.01,0.33,0.0,1.1883772737931728,0.841993769470405,0.6164529960944118,0.8414836113518961,0.7085239578697523,0.518735093382222,1.1876572443392037,1.411384878228535,0.7321348666061351,1.6221836966250167,1.9277662389869685,1.3658685654947338
6.0,0.01,0.33,10.0,1.1865074035523622,0.8448953974895397,0.6201454819858554,0.8428097431217324,0.7120860729228929,0.5226646543706017,1.1835784677858665,1.4043246147130914,0.7339908393731465,1.6125248494881537,1.9132726723298525,1.3624148236700537
6.0,0.01,0.33,20.0,1.1787114562517391,0.8543455542178247,0.6325921099074149,0.8483840508176317,0.7248131420853526,0.5366810567185251,1.1704865731004193,1.3796659331023027,0.7404405708958939,1.580797459118417,1.8633040750765184,1.3505472813166532
6.0,0.01,0.33,30.0,1.163142762638984,0.8689522771624806,0.6536753000390837,0.8597396915673193,0.7470727627543909,0.5619906008407768,1.1508111852418974,1.3385577012781043,0.7522568468013308,1.5298115133617705,1.7793891899685348,1.329333198165091
6.0,0.01,0.33,40.0,1.1415395651505578,0.8893620135594574,0.6850582959641256,0.8760099347656951,0.7790899594813075,0.600117873158232,1.1244015201388473,1.2835488223539258,0.7702805893657911,1.4597297863426895,1.6663393055389504,1.298228222034451
6.0,0.01,0.33,50.0,1.1218374983870276,0.9207068674588215,0.7321603018291657,0.8913946997116741,0.8207132216409322,0.6526438123898177,1.0861220170541683,1.2184524065551208,0.7952154238296821,1.3658211152690016,1.5322293431975569,1.2575208805484364
6.0,0.01,0.33,60.0,1.1009528268352102,0.956911298162061,0.7914204871238749,0.9083041304091035,0.8691664845557372,0.7188504973450004,1.0450289404260347,1.1505275660866474,0.8270573130905192,1.26355081308816,1.3911098395193384,1.209106048845919
6.0,0.01,0.33,70.0,1.0998215451577802,1.120708925435095,0.8745751448487827,0.9092384163619383,1.0189916085652952,0.7951973196918201,0.8922923493375126,0.9813623503808487,0.7803767106693157,1.1434123252758386,1.257549510337323,1.2814323983891283
6.0,0.01,0.33,80.0,1.0946477625166149,1.1557374748561537,0.949354831272431,0.9135358735863872,1.0558076437292419,0.8672696951299176,0.8652483991872485,0.9471422241914045,0.8214277480191513,1.0533469331584786,1.1530438635356668,1.2173925246760537
6.0,0.01,0.33,89.0,1.49225591598682,1.6595306912261794,1.3737983927742974,0.670126343133782,1.1120952334296772,0.9206184931529071,0.6025799976384462,0.8992035663312953,0.8278234322736372,0.7279088440193647,1.0862262787870245,1.2079870670651054
6.0,0.1,0.33,0.0,1.093062724910388,0.8401589208967989,0.6323036374079852,0.9148605813833627,0.768628278826064,0.5784696733298843,1.1902510050510255,1.301019006908402,0.7526000399222738,1.5815186578703226,1.7286990936683542,1.3287270089744838
