2.9324404120310055	1.79558772045615	1.6331368156639265 
2.8752558320445263	1.789830801602629	1.6064400218556967 
2.706299919231805	1.7656947128051994	1.5327111190882168 
2.474276111685626	1.724787341407151	1.4345398138572907 
2.179259403878693	1.657029751963877	1.3151600937133934 
2.021121206385261	1.619523108327593	1.2479730582371127 
1.8778269381966177	1.5811034455903064	1.1876686142414479 
1.6360551159081804	1.5024398031498793	1.0889322237590984 
1.4048166367829833	1.3764659068726819	1.020596754172222 
1.1898072060682678	1.2477068781227472	0.9535951327433627 
1.0469698051252765	1.2054044724968564	0.8685630666000428 
